date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-02-09 13:03:00,4.56,4.57,4.57,4.56,146.0,66711.0,4.585,,
2026-02-09 13:04:00,4.57,4.57,4.57,4.56,141.0,64420.0,4.585,,
2026-02-09 13:05:00,4.57,4.57,4.57,4.57,684.0,312588.0,4.585,,
2026-02-09 13:06:00,4.57,4.57,4.57,4.57,65.0,29705.0,4.585,,
2026-02-09 13:07:00,4.57,4.57,4.57,4.57,24.0,10968.0,4.585,,
2026-02-09 13:08:00,4.57,4.56,4.57,4.56,153.0,69894.0,4.585,,
2026-02-09 13:09:00,4.56,4.57,4.57,4.56,73.0,33289.0,4.585,,
2026-02-09 13:10:00,4.57,4.57,4.57,4.56,35.0,15972.0,4.585,,
2026-02-09 13:11:00,4.57,4.57,4.57,4.56,516.0,235571.0,4.585,,
2026-02-09 13:12:00,4.57,4.56,4.57,4.56,2207.0,1006948.0,4.584,,
2026-02-09 13:13:00,4.56,4.57,4.57,4.56,209.0,95321.0,4.584,,
2026-02-09 13:14:00,4.57,4.56,4.56,4.56,60.0,27360.0,4.584,,
2026-02-09 13:15:00,4.56,4.56,4.57,4.56,101.0,46144.0,4.584,,
2026-02-09 13:16:00,4.56,4.56,4.57,4.56,216.0,98503.0,4.584,,
2026-02-09 13:17:00,4.56,4.56,4.57,4.56,1381.0,629745.0,4.584,,
2026-02-09 13:18:00,4.56,4.56,4.56,4.56,1005.0,458280.0,4.584,,
2026-02-09 13:19:00,4.56,4.57,4.57,4.56,162.0,73907.0,4.584,,
2026-02-09 13:20:00,4.57,4.56,4.57,4.56,63.0,28735.0,4.584,,
2026-02-09 13:21:00,4.56,4.56,4.57,4.56,409.0,186521.0,4.584,,
2026-02-09 13:22:00,4.56,4.56,4.56,4.56,94.0,42864.0,4.584,,
2026-02-09 13:23:00,4.56,4.56,4.57,4.56,225.0,102700.0,4.584,,
2026-02-09 13:24:00,4.56,4.57,4.57,4.56,28.0,12792.0,4.584,,
2026-02-09 13:25:00,4.57,4.56,4.57,4.56,50.0,22801.0,4.584,,
2026-02-09 13:26:00,4.56,4.56,4.57,4.56,8.0,3654.0,4.584,,
2026-02-09 13:27:00,4.56,4.56,4.56,4.56,202.0,92112.0,4.584,,
2026-02-09 13:28:00,4.56,4.56,4.56,4.56,29.0,13224.0,4.584,,
2026-02-09 13:29:00,4.56,4.56,4.56,4.56,1277.0,582312.0,4.583,,
2026-02-09 13:30:00,4.56,4.56,4.57,4.56,110.0,50204.0,4.583,,
2026-02-09 13:31:00,4.56,4.57,4.57,4.56,89.0,40618.0,4.583,,
2026-02-09 13:32:00,4.57,4.57,4.57,4.57,43.0,19651.0,4.583,,
2026-02-09 13:33:00,4.57,4.57,4.57,4.56,41.0,18719.0,4.583,,
2026-02-09 13:34:00,4.57,4.57,4.57,4.57,40.0,18280.0,4.583,,
2026-02-09 13:35:00,4.57,4.57,4.57,4.56,68.0,31067.0,4.583,,
2026-02-09 13:36:00,4.57,4.57,4.57,4.57,50.0,22850.0,4.583,,
2026-02-09 13:37:00,4.57,4.57,4.57,4.57,2.0,914.0,4.583,,
2026-02-09 13:38:00,4.57,4.57,4.57,4.56,150.0,68480.0,4.583,,
2026-02-09 13:39:00,4.57,4.57,4.57,4.56,60.0,27398.0,4.583,,
2026-02-09 13:40:00,4.57,4.56,4.57,4.56,36.0,16429.0,4.583,,
2026-02-09 13:41:00,4.56,4.57,4.57,4.56,176.0,80343.0,4.583,,
2026-02-09 13:42:00,4.57,4.56,4.57,4.56,23.0,10499.0,4.583,,
2026-02-09 13:43:00,4.56,4.56,4.57,4.56,14.0,6397.0,4.583,,
2026-02-09 13:44:00,4.56,4.57,4.57,4.57,348.0,159036.0,4.583,,
2026-02-09 13:45:00,4.57,4.57,4.57,4.56,123.0,56203.0,4.583,,
2026-02-09 13:46:00,4.57,4.57,4.57,4.56,20.0,9138.0,4.583,,
2026-02-09 13:47:00,4.57,4.56,4.57,4.56,127.0,57956.0,4.583,,
2026-02-09 13:48:00,4.56,4.56,4.56,4.56,4.0,1824.0,4.583,,
2026-02-09 13:49:00,4.56,4.56,4.56,4.56,12.0,5472.0,4.583,,
2026-02-09 13:50:00,4.56,4.57,4.57,4.56,8.0,3652.0,4.583,,
2026-02-09 13:51:00,4.57,4.56,4.57,4.56,8.0,3655.0,4.583,,
2026-02-09 13:52:00,4.56,4.56,4.57,4.56,97.0,44265.0,4.583,4.565,
2026-02-09 13:53:00,4.56,4.56,4.56,4.56,78.0,35568.0,4.583,4.5648,
2026-02-09 13:54:00,4.56,4.56,4.57,4.56,68.0,31041.0,4.583,4.5646,
2026-02-09 13:55:00,4.56,4.56,4.57,4.56,303.0,138409.0,4.583,4.5644,
2026-02-09 13:56:00,4.56,4.57,4.57,4.57,267.0,122019.0,4.583,4.5644,
2026-02-09 13:57:00,4.57,4.56,4.57,4.56,174.0,79389.0,4.583,4.5642000000000005,
2026-02-09 13:58:00,4.56,4.57,4.57,4.56,211.0,96347.0,4.583,4.5644,
2026-02-09 13:59:00,4.57,4.56,4.57,4.56,354.0,161442.0,4.583,4.5642000000000005,
2026-02-09 14:00:00,4.56,4.56,4.57,4.56,372.0,169737.0,4.583,4.564,
