date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-03-12 13:03:00,5.19,5.19,5.2,5.18,2296.0,1191614.0,5.189,,
2026-03-12 13:04:00,5.19,5.2,5.2,5.19,592.0,307659.0,5.189,,
2026-03-12 13:05:00,5.2,5.19,5.2,5.19,1199.0,622531.0,5.189,,
2026-03-12 13:06:00,5.19,5.19,5.2,5.18,1784.0,925844.0,5.189,,
2026-03-12 13:07:00,5.19,5.19,5.2,5.19,1497.0,776954.0,5.189,,
2026-03-12 13:08:00,5.19,5.2,5.2,5.18,615.0,319144.0,5.189,,
2026-03-12 13:09:00,5.2,5.19,5.2,5.19,231.0,120057.0,5.189,,
2026-03-12 13:10:00,5.19,5.2,5.2,5.19,536.0,278208.0,5.189,,
2026-03-12 13:11:00,5.2,5.2,5.2,5.19,978.0,508171.0,5.189,,
2026-03-12 13:12:00,5.2,5.19,5.2,5.18,2919.0,1514994.0,5.189,,
2026-03-12 13:13:00,5.19,5.18,5.19,5.18,275.0,142661.0,5.189,,
2026-03-12 13:14:00,5.18,5.18,5.19,5.18,11431.0,5921607.0,5.189,,
2026-03-12 13:15:00,5.18,5.18,5.19,5.18,835.0,432624.0,5.189,,
2026-03-12 13:16:00,5.18,5.18,5.19,5.18,319.0,165526.0,5.189,,
2026-03-12 13:17:00,5.18,5.18,5.19,5.18,477.0,247476.0,5.189,,
2026-03-12 13:18:00,5.18,5.19,5.19,5.18,380.0,197024.0,5.189,,
2026-03-12 13:19:00,5.19,5.18,5.19,5.18,843.0,437056.0,5.189,,
2026-03-12 13:20:00,5.18,5.18,5.19,5.18,847.0,439352.0,5.189,,
2026-03-12 13:21:00,5.18,5.18,5.19,5.18,352.0,182400.0,5.189,,
2026-03-12 13:22:00,5.18,5.19,5.19,5.18,306.0,158573.0,5.189,,
2026-03-12 13:23:00,5.19,5.18,5.19,5.18,8315.0,4307261.0,5.189,,
2026-03-12 13:24:00,5.18,5.19,5.19,5.18,13080.0,6778268.0,5.189,,
2026-03-12 13:25:00,5.19,5.18,5.19,5.18,370.0,191918.0,5.189,,
2026-03-12 13:26:00,5.18,5.18,5.19,5.18,323.0,167426.0,5.189,,
2026-03-12 13:27:00,5.18,5.18,5.19,5.18,999.0,517959.0,5.189,,
2026-03-12 13:28:00,5.18,5.18,5.19,5.18,320.0,165892.0,5.189,,
2026-03-12 13:29:00,5.18,5.19,5.19,5.18,362.0,187855.0,5.189,,
2026-03-12 13:30:00,5.19,5.19,5.19,5.18,11001.0,5708713.0,5.189,,
2026-03-12 13:31:00,5.19,5.2,5.2,5.19,3169.0,1644961.0,5.189,,
2026-03-12 13:32:00,5.2,5.19,5.2,5.19,867.0,450203.0,5.189,,
2026-03-12 13:33:00,5.19,5.2,5.2,5.19,550.0,285562.0,5.189,,
2026-03-12 13:34:00,5.2,5.19,5.2,5.19,181.0,94005.0,5.189,,
2026-03-12 13:35:00,5.19,5.19,5.2,5.19,2848.0,1480893.0,5.189,,
2026-03-12 13:36:00,5.19,5.21,5.21,5.2,10681.0,5554423.0,5.189,,
2026-03-12 13:37:00,5.21,5.2,5.21,5.2,1596.0,830353.0,5.189,,
2026-03-12 13:38:00,5.2,5.21,5.21,5.2,1084.0,564673.0,5.189,,
2026-03-12 13:39:00,5.21,5.21,5.21,5.2,812.0,422671.0,5.189,,
2026-03-12 13:40:00,5.21,5.2,5.21,5.2,2817.0,1466774.0,5.189,,
2026-03-12 13:41:00,5.2,5.21,5.21,5.21,9214.0,4800416.0,5.19,,
2026-03-12 13:42:00,5.21,5.21,5.21,5.2,9938.0,5178129.0,5.19,,
2026-03-12 13:43:00,5.21,5.21,5.22,5.2,5025.0,2619258.0,5.19,,
2026-03-12 13:44:00,5.21,5.21,5.21,5.2,797.0,415123.0,5.19,,
2026-03-12 13:45:00,5.21,5.2,5.21,5.2,778.0,405260.0,5.19,,
2026-03-12 13:46:00,5.2,5.2,5.21,5.2,2489.0,1296312.0,5.19,,
2026-03-12 13:47:00,5.2,5.21,5.21,5.2,2480.0,1291939.0,5.19,,
2026-03-12 13:48:00,5.21,5.21,5.21,5.2,647.0,336852.0,5.19,,
2026-03-12 13:49:00,5.21,5.2,5.21,5.2,723.0,376544.0,5.19,,
2026-03-12 13:50:00,5.2,5.2,5.21,5.2,4812.0,2506975.0,5.19,,
2026-03-12 13:51:00,5.2,5.21,5.21,5.2,2015.0,1049606.0,5.19,,
2026-03-12 13:52:00,5.21,5.21,5.21,5.2,725.0,377653.0,5.19,5.1941999999999995,
2026-03-12 13:53:00,5.21,5.21,5.21,5.2,1084.0,563971.0,5.19,5.1946,
2026-03-12 13:54:00,5.21,5.21,5.21,5.2,362.0,188395.0,5.19,5.1948,
2026-03-12 13:55:00,5.21,5.2,5.21,5.2,7080.0,3681981.0,5.191,5.195,
2026-03-12 13:56:00,5.2,5.21,5.21,5.2,768.0,399780.0,5.191,5.195399999999999,
2026-03-12 13:57:00,5.21,5.21,5.21,5.2,240.0,124954.0,5.191,5.1958,
2026-03-12 13:58:00,5.21,5.2,5.21,5.2,852.0,443835.0,5.191,5.1958,
2026-03-12 13:59:00,5.2,5.21,5.21,5.2,2141.0,1115248.0,5.191,5.1962,
2026-03-12 14:00:00,5.21,5.21,5.21,5.2,1774.0,924126.0,5.191,5.1964,
2026-03-12 14:01:00,5.21,5.21,5.21,5.2,1608.0,837220.0,5.191,5.1966,
2026-03-12 14:02:00,5.21,5.2,5.21,5.2,699.0,364083.0,5.191,5.1968000000000005,
2026-03-12 14:03:00,5.2,5.21,5.21,5.21,9573.0,4987473.0,5.191,5.1974,
