date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-06-24 13:03:00,9.0,9.01,9.01,9.0,338.0,304344.0,9.043,,
2026-06-24 13:04:00,9.01,9.01,9.01,9.0,528.0,475258.0,9.043,,
2026-06-24 13:05:00,9.01,8.99,9.01,8.99,94.0,84605.0,9.043,,
2026-06-24 13:06:00,8.99,9.02,9.02,9.0,1807.0,1626817.0,9.043,,
2026-06-24 13:07:00,9.02,9.01,9.02,9.0,513.0,462314.0,9.042,,
2026-06-24 13:08:00,9.01,9.0,9.01,9.0,139.0,125114.0,9.042,,
2026-06-24 13:09:00,9.0,9.01,9.01,9.0,170.0,153047.0,9.042,,
2026-06-24 13:10:00,9.01,9.02,9.02,9.0,555.0,500161.0,9.042,,
2026-06-24 13:11:00,9.02,9.0,9.01,9.0,599.0,539380.0,9.042,,
2026-06-24 13:12:00,9.0,9.0,9.01,9.0,351.0,315908.0,9.042,,
2026-06-24 13:13:00,9.0,9.01,9.03,9.01,824.0,742969.0,9.042,,
2026-06-24 13:14:00,9.01,9.03,9.03,9.0,440.0,396261.0,9.042,,
2026-06-24 13:15:00,9.03,9.0,9.02,9.0,1216.0,1094997.0,9.042,,
2026-06-24 13:16:00,9.0,9.01,9.02,9.0,154.0,138702.0,9.042,,
2026-06-24 13:17:00,9.01,9.0,9.01,9.0,205.0,184700.0,9.042,,
2026-06-24 13:18:00,9.0,9.0,9.01,9.0,546.0,491494.0,9.041,,
2026-06-24 13:19:00,9.0,9.03,9.03,9.01,811.0,731075.0,9.041,,
2026-06-24 13:20:00,9.03,9.03,9.03,9.02,163.0,147173.0,9.041,,
2026-06-24 13:21:00,9.03,9.05,9.05,9.03,561.0,507041.0,9.041,,
2026-06-24 13:22:00,9.05,9.04,9.06,9.04,630.0,570206.0,9.041,,
2026-06-24 13:23:00,9.04,9.03,9.04,9.03,458.0,413795.0,9.041,,
2026-06-24 13:24:00,9.03,9.03,9.04,9.03,284.0,256558.0,9.041,,
2026-06-24 13:25:00,9.03,9.03,9.04,9.03,521.0,470555.0,9.041,,
