date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-07-16 11:18:00,4.02,4.01,4.02,4.01,27.0,10843.0,4.021,,
2026-07-16 11:19:00,4.01,4.02,4.02,4.02,60.0,24120.0,4.021,,
2026-07-16 11:20:00,4.02,4.02,4.02,4.01,61.0,24521.0,4.021,,
2026-07-16 11:21:00,4.02,4.01,4.01,4.01,22.0,8830.0,4.021,,
2026-07-16 11:22:00,4.01,4.01,4.01,4.01,28.0,11228.0,4.021,,
2026-07-16 11:23:00,4.01,4.01,4.01,4.01,169.0,67769.0,4.021,,
2026-07-16 11:24:00,4.01,4.01,4.01,4.01,202.0,81002.0,4.021,,
2026-07-16 11:25:00,4.01,4.01,4.02,4.01,33.0,13255.0,4.021,,
2026-07-16 11:26:00,4.01,4.01,4.02,4.01,17.0,6827.0,4.021,,
2026-07-16 11:27:00,4.01,4.02,4.02,4.01,13.0,5225.0,4.021,,
2026-07-16 11:28:00,4.02,4.02,4.02,4.01,32.0,12858.0,4.021,,
2026-07-16 11:29:00,4.02,4.02,4.02,4.02,1282.0,515364.0,4.021,,
2026-07-16 11:30:00,4.02,4.02,4.03,4.02,33.0,13284.0,4.021,,
2026-07-16 13:01:00,4.02,4.02,4.03,4.02,138.0,55593.0,4.021,,
2026-07-16 13:02:00,4.02,4.02,4.02,4.02,5.0,2010.0,4.021,,
2026-07-16 13:03:00,4.02,4.02,4.03,4.02,43.0,17325.0,4.021,,
2026-07-16 13:04:00,4.02,4.03,4.03,4.02,171.0,68792.0,4.021,,
2026-07-16 13:05:00,4.03,4.02,4.03,4.02,53.0,21351.0,4.021,,
2026-07-16 13:06:00,4.02,4.02,4.02,4.02,5.0,2010.0,4.021,,
2026-07-16 13:07:00,4.02,4.02,4.02,4.02,2.0,804.0,4.021,,
2026-07-16 13:08:00,4.02,4.02,4.03,4.02,1014.0,407670.0,4.021,,
2026-07-16 13:09:00,4.02,4.03,4.03,4.02,15.0,6041.0,4.021,,
2026-07-16 13:10:00,4.03,4.02,4.02,4.01,1344.0,540245.0,4.021,,
2026-07-16 13:11:00,4.02,4.02,4.02,4.01,65.0,26127.0,4.021,,
2026-07-16 13:12:00,4.02,4.02,4.02,4.01,34.0,13654.0,4.021,,
2026-07-16 13:13:00,4.02,4.02,4.02,4.01,138.0,55460.0,4.021,,
2026-07-16 13:14:00,4.02,4.02,4.02,4.01,549.0,220694.0,4.021,,
2026-07-16 13:15:00,4.02,4.02,4.02,4.01,147.0,59099.0,4.021,,
2026-07-16 13:16:00,4.02,4.03,4.03,4.02,134.0,53921.0,4.021,,
2026-07-16 13:17:00,4.03,4.01,4.02,4.01,48.0,19294.0,4.021,,
2026-07-16 13:18:00,4.01,4.02,4.03,4.01,99.0,39851.0,4.021,,
2026-07-16 13:19:00,4.02,4.02,4.02,4.02,10.0,4020.0,4.021,,
2026-07-16 13:20:00,4.02,4.02,4.02,4.02,66.0,26532.0,4.021,,
2026-07-16 13:21:00,4.02,4.02,4.02,4.02,257.0,103314.0,4.021,,
2026-07-16 13:22:00,4.02,4.02,4.02,4.01,16.0,6431.0,4.021,,
2026-07-16 13:23:00,4.02,4.02,4.02,4.02,10.0,4020.0,4.021,,
2026-07-16 13:24:00,4.02,4.02,4.02,4.02,432.0,173776.0,4.021,,
2026-07-16 13:25:00,4.02,4.01,4.03,4.01,388.0,155914.0,4.021,,
2026-07-16 13:26:00,4.01,4.02,4.03,4.01,10.0,4039.0,4.021,,
2026-07-16 13:27:00,4.02,4.02,4.02,4.01,501.0,200902.0,4.021,,
2026-07-16 13:28:00,4.02,4.01,4.02,4.01,34.0,13641.0,4.021,,
2026-07-16 13:29:00,4.01,4.02,4.02,4.01,80.0,32159.0,4.021,,
2026-07-16 13:30:00,4.02,4.02,4.02,4.02,57.0,22914.0,4.021,,
2026-07-16 13:31:00,4.02,4.02,4.02,4.02,30.0,12060.0,4.021,,
2026-07-16 13:32:00,4.02,4.02,4.02,4.01,13.0,5225.0,4.021,,
2026-07-16 13:33:00,4.02,4.02,4.02,4.01,2.0,803.0,4.021,,
2026-07-16 13:34:00,4.02,4.01,4.02,4.01,224.0,89929.0,4.021,,
2026-07-16 13:35:00,4.01,4.01,4.02,4.01,42.0,16882.0,4.021,,
2026-07-16 13:36:00,4.01,4.02,4.02,4.02,71.0,28542.0,4.021,,
2026-07-16 13:37:00,4.02,4.02,4.02,4.02,949.0,381498.0,4.021,4.0182,
2026-07-16 13:38:00,4.02,4.01,4.02,4.01,101.0,40594.0,4.021,4.0182,
2026-07-16 13:39:00,4.01,4.02,4.02,4.01,29.0,11657.0,4.021,4.018199999999999,
2026-07-16 13:40:00,4.02,4.02,4.02,4.01,11.0,4420.0,4.021,4.018199999999999,
2026-07-16 13:41:00,4.02,4.02,4.02,4.02,54.0,21708.0,4.021,4.0184,
2026-07-16 13:42:00,4.02,4.01,4.02,4.01,152.0,60976.0,4.021,4.0184,
2026-07-16 13:43:00,4.01,4.02,4.02,4.02,6.0,2412.0,4.021,4.018599999999999,
2026-07-16 13:44:00,4.02,4.01,4.02,4.01,102.0,40911.0,4.021,4.018599999999999,
2026-07-16 13:45:00,4.01,4.01,4.02,4.01,297.0,119139.0,4.021,4.018599999999999,
2026-07-16 13:46:00,4.01,4.02,4.02,4.02,1.0,402.0,4.021,4.0188,
