date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-19 13:03:00,11.86,11.85,11.87,11.84,489.0,579941.0,11.79,,
2026-01-19 13:04:00,11.85,11.87,11.87,11.85,253.0,300092.0,11.79,,
2026-01-19 13:05:00,11.87,11.86,11.88,11.86,484.0,574555.0,11.791,,
2026-01-19 13:06:00,11.86,11.87,11.88,11.86,333.0,395490.0,11.791,,
2026-01-19 13:07:00,11.87,11.87,11.88,11.86,440.0,522447.0,11.792,,
2026-01-19 13:08:00,11.87,11.88,11.88,11.87,248.0,294535.0,11.792,,
2026-01-19 13:09:00,11.88,11.89,11.89,11.88,446.0,529975.0,11.792,,
2026-01-19 13:10:00,11.89,11.88,11.89,11.88,162.0,192474.0,11.792,,
2026-01-19 13:11:00,11.88,11.89,11.89,11.88,327.0,388702.0,11.793,,
2026-01-19 13:12:00,11.89,11.93,11.94,11.88,4254.0,5066453.0,11.798,,
2026-01-19 13:13:00,11.93,11.92,11.93,11.92,1201.0,1432133.0,11.8,,
2026-01-19 13:14:00,11.92,11.94,11.95,11.92,2144.0,2558768.0,11.803,,
2026-01-19 13:15:00,11.94,11.95,11.97,11.95,2965.0,3544671.0,11.808,,
2026-01-19 13:16:00,11.95,11.94,11.96,11.94,2104.0,2514051.0,11.811,,
2026-01-19 13:17:00,11.94,11.92,11.94,11.92,354.0,422268.0,11.811,,
2026-01-19 13:18:00,11.92,11.93,11.93,11.92,596.0,710883.0,11.812,,
2026-01-19 13:19:00,11.93,11.93,11.94,11.93,585.0,698310.0,11.813,,
2026-01-19 13:20:00,11.93,11.94,11.94,11.93,651.0,777115.0,11.814,,
2026-01-19 13:21:00,11.94,11.94,11.94,11.93,290.0,346236.0,11.814,,
2026-01-19 13:22:00,11.94,11.92,11.94,11.92,972.0,1159731.0,11.815,,
2026-01-19 13:23:00,11.92,11.92,11.93,11.92,780.0,929619.0,11.816,,
2026-01-19 13:24:00,11.92,11.91,11.92,11.91,376.0,447872.0,11.816,,
2026-01-19 13:25:00,11.91,11.91,11.92,11.9,478.0,569136.0,11.817,,
2026-01-19 13:26:00,11.91,11.92,11.92,11.91,212.0,252646.0,11.817,,
2026-01-19 13:27:00,11.92,11.93,11.93,11.92,927.0,1105555.0,11.818,,
2026-01-19 13:28:00,11.93,11.92,11.93,11.91,569.0,678370.0,11.818,,
2026-01-19 13:29:00,11.92,11.91,11.92,11.91,425.0,506250.0,11.819,,
2026-01-19 13:30:00,11.91,11.9,11.91,11.9,103.0,122645.0,11.819,,
2026-01-19 13:31:00,11.9,11.91,11.92,11.9,190.0,225876.0,11.819,,
2026-01-19 13:32:00,11.91,11.91,11.92,11.91,434.0,517199.0,11.819,,
2026-01-19 13:33:00,11.91,11.92,11.92,11.91,142.0,169168.0,11.82,,
2026-01-19 13:34:00,11.92,11.92,11.92,11.91,87.0,103692.0,11.82,,
2026-01-19 13:35:00,11.92,11.91,11.92,11.91,287.0,341801.0,11.82,,
2026-01-19 13:36:00,11.91,11.9,11.91,11.9,309.0,367712.0,11.82,,
2026-01-19 13:37:00,11.9,11.9,11.91,11.9,136.0,161838.0,11.82,,
2026-01-19 13:38:00,11.9,11.89,11.9,11.89,88.0,104698.0,11.82,,
2026-01-19 13:39:00,11.89,11.89,11.9,11.89,111.0,132014.0,11.82,,
2026-01-19 13:40:00,11.89,11.89,11.9,11.89,336.0,399538.0,11.821,,
2026-01-19 13:41:00,11.89,11.88,11.89,11.88,413.0,490703.0,11.821,,
2026-01-19 13:42:00,11.88,11.88,11.89,11.88,230.0,273251.0,11.821,,
2026-01-19 13:43:00,11.88,11.89,11.89,11.87,851.0,1011034.0,11.821,,
2026-01-19 13:44:00,11.89,11.88,11.9,11.88,217.0,257929.0,11.822,,
2026-01-19 13:45:00,11.88,11.87,11.89,11.87,506.0,600795.0,11.822,,
2026-01-19 13:46:00,11.87,11.87,11.88,11.86,797.0,946032.0,11.822,,
2026-01-19 13:47:00,11.87,11.88,11.89,11.86,204.0,242187.0,11.822,,
2026-01-19 13:48:00,11.88,11.87,11.88,11.87,110.0,130607.0,11.822,,
2026-01-19 13:49:00,11.87,11.86,11.88,11.86,138.0,163814.0,11.822,,
2026-01-19 13:50:00,11.86,11.87,11.88,11.86,202.0,239806.0,11.822,,
2026-01-19 13:51:00,11.87,11.86,11.88,11.86,225.0,266957.0,11.823,,
2026-01-19 13:52:00,11.86,11.85,11.87,11.85,246.0,291742.0,11.823,11.898800000000001,
2026-01-19 13:53:00,11.85,11.85,11.86,11.85,291.0,344894.0,11.823,11.8988,
2026-01-19 13:54:00,11.85,11.85,11.86,11.85,548.0,649396.0,11.823,11.898399999999999,
2026-01-19 13:55:00,11.85,11.84,11.85,11.84,480.0,568630.0,11.823,11.898,
2026-01-19 13:56:00,11.84,11.85,11.85,11.84,403.0,477217.0,11.823,11.8976,
2026-01-19 13:57:00,11.85,11.84,11.85,11.84,244.0,288927.0,11.823,11.896999999999998,
2026-01-19 13:58:00,11.84,11.85,11.85,11.84,389.0,460957.0,11.823,11.896399999999998,
2026-01-19 13:59:00,11.85,11.86,11.87,11.85,907.0,1075508.0,11.823,11.8958,
2026-01-19 14:00:00,11.86,11.84,11.87,11.84,2321.0,2751694.0,11.824,11.895,
2026-01-19 14:01:00,11.84,11.84,11.85,11.84,282.0,333999.0,11.824,11.893999999999998,
2026-01-19 14:02:00,11.84,11.86,11.86,11.84,196.0,232229.0,11.824,11.8926,
2026-01-19 14:03:00,11.86,11.86,11.87,11.85,281.0,333127.0,11.824,11.891399999999999,
2026-01-19 14:04:00,11.86,11.86,11.86,11.85,98.0,116152.0,11.824,11.889800000000001,
2026-01-19 14:05:00,11.86,11.87,11.87,11.85,240.0,284735.0,11.824,11.8882,
2026-01-19 14:06:00,11.87,11.86,11.87,11.86,75.0,88958.0,11.824,11.886600000000001,
2026-01-19 14:07:00,11.86,11.85,11.86,11.85,76.0,90120.0,11.824,11.8852,
2026-01-19 14:08:00,11.85,11.86,11.86,11.85,55.0,65226.0,11.824,11.8838,
2026-01-19 14:09:00,11.86,11.86,11.86,11.85,114.0,135124.0,11.824,11.882399999999997,
2026-01-19 14:10:00,11.86,11.85,11.86,11.85,56.0,66411.0,11.824,11.8806,
2026-01-19 14:11:00,11.85,11.87,11.87,11.86,520.0,617008.0,11.825,11.879199999999999,
2026-01-19 14:12:00,11.87,11.87,11.88,11.86,303.0,359699.0,11.825,11.8782,
2026-01-19 14:13:00,11.87,11.87,11.87,11.86,76.0,90165.0,11.825,11.8772,
2026-01-19 14:14:00,11.87,11.87,11.87,11.86,103.0,122186.0,11.825,11.876399999999999,
2026-01-19 14:15:00,11.87,11.88,11.88,11.86,482.0,572130.0,11.825,11.8758,
2026-01-19 14:16:00,11.88,11.88,11.88,11.87,354.0,420280.0,11.825,11.875,
