date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-07-28 11:00:00,3.72,3.72,3.72,3.71,2.0,743.0,3.725,,
2026-07-28 11:01:00,3.72,3.72,3.72,3.72,0.0,0.0,3.725,,
2026-07-28 11:02:00,3.72,3.71,3.72,3.71,14.0,5207.0,3.725,,
2026-07-28 11:03:00,3.71,3.71,3.71,3.71,0.0,0.0,3.725,,
2026-07-28 11:04:00,3.71,3.71,3.72,3.71,49.0,18180.0,3.725,,
2026-07-28 11:05:00,3.71,3.72,3.72,3.71,197.0,73200.0,3.725,,
2026-07-28 11:06:00,3.72,3.72,3.72,3.72,9.0,3348.0,3.725,,
2026-07-28 11:07:00,3.72,3.72,3.72,3.72,0.0,0.0,3.725,,
2026-07-28 11:08:00,3.72,3.72,3.72,3.72,5.0,1860.0,3.725,,
2026-07-28 11:09:00,3.72,3.72,3.72,3.72,16.0,5952.0,3.725,,
2026-07-28 11:10:00,3.72,3.72,3.72,3.72,56.0,20832.0,3.725,,
2026-07-28 11:11:00,3.72,3.72,3.72,3.71,41.0,15246.0,3.725,,
2026-07-28 11:12:00,3.72,3.72,3.72,3.72,147.0,54684.0,3.725,,
2026-07-28 11:13:00,3.72,3.72,3.72,3.71,57.0,21203.0,3.725,,
2026-07-28 11:14:00,3.72,3.72,3.72,3.71,77.0,28643.0,3.725,,
2026-07-28 11:15:00,3.72,3.73,3.73,3.72,172.0,63978.0,3.725,,
2026-07-28 11:16:00,3.73,3.72,3.73,3.72,578.0,215033.0,3.725,,
2026-07-28 11:17:00,3.72,3.72,3.73,3.71,90.0,33536.0,3.725,,
2026-07-28 11:18:00,3.72,3.71,3.73,3.71,8.0,2981.0,3.725,,
2026-07-28 11:19:00,3.71,3.73,3.73,3.72,38.0,14169.0,3.725,,
2026-07-28 11:20:00,3.73,3.73,3.73,3.73,11.0,4103.0,3.725,,
2026-07-28 11:21:00,3.73,3.72,3.72,3.72,19.0,7068.0,3.725,,
