date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-02-10 13:03:00,5.06,5.06,5.07,5.06,878.0,444760.0,5.058,,
2026-02-10 13:04:00,5.06,5.07,5.08,5.07,51182.0,25958768.0,5.06,,
2026-02-10 13:05:00,5.07,5.07,5.08,5.07,764.0,387924.0,5.06,,
2026-02-10 13:06:00,5.07,5.08,5.08,5.07,1317.0,667755.0,5.06,,
2026-02-10 13:07:00,5.08,5.07,5.08,5.07,575.0,291589.0,5.06,,
2026-02-10 13:08:00,5.07,5.07,5.08,5.07,400.0,203026.0,5.06,,
2026-02-10 13:09:00,5.07,5.08,5.08,5.07,389.0,197410.0,5.06,,
2026-02-10 13:10:00,5.08,5.08,5.08,5.07,777.0,394236.0,5.06,,
2026-02-10 13:11:00,5.08,5.07,5.08,5.07,769.0,390370.0,5.06,,
2026-02-10 13:12:00,5.07,5.07,5.08,5.07,511.0,259302.0,5.061,,
2026-02-10 13:13:00,5.07,5.07,5.08,5.07,6837.0,3466658.0,5.061,,
2026-02-10 13:14:00,5.07,5.06,5.07,5.06,1563.0,792333.0,5.061,,
2026-02-10 13:15:00,5.06,5.06,5.07,5.06,661.0,334986.0,5.061,,
2026-02-10 13:16:00,5.06,5.06,5.07,5.06,367.0,185984.0,5.061,,
2026-02-10 13:17:00,5.06,5.07,5.07,5.06,1007.0,510452.0,5.061,,
2026-02-10 13:18:00,5.07,5.07,5.07,5.06,489.0,247797.0,5.061,,
2026-02-10 13:19:00,5.07,5.06,5.07,5.06,394.0,199559.0,5.061,,
2026-02-10 13:20:00,5.06,5.07,5.07,5.06,245.0,124125.0,5.061,,
2026-02-10 13:21:00,5.07,5.06,5.07,5.06,10717.0,5422893.0,5.061,,
2026-02-10 13:22:00,5.06,5.06,5.07,5.06,16340.0,8268167.0,5.061,,
2026-02-10 13:23:00,5.06,5.06,5.07,5.06,239.0,121013.0,5.061,,
2026-02-10 13:24:00,5.06,5.06,5.07,5.06,492.0,249027.0,5.061,,
2026-02-10 13:25:00,5.06,5.06,5.06,5.06,1294.0,654799.0,5.061,,
2026-02-10 13:26:00,5.06,5.06,5.07,5.05,10435.0,5280416.0,5.061,,
2026-02-10 13:27:00,5.06,5.06,5.07,5.05,1989.0,1006843.0,5.061,,
2026-02-10 13:28:00,5.06,5.05,5.06,5.05,850.0,430222.0,5.061,,
2026-02-10 13:29:00,5.05,5.06,5.07,5.06,16105.0,8149198.0,5.061,,
2026-02-10 13:30:00,5.06,5.06,5.07,5.05,3320.0,1679897.0,5.061,,
2026-02-10 13:31:00,5.06,5.06,5.07,5.06,529.0,267601.0,5.061,,
2026-02-10 13:32:00,5.06,5.06,5.07,5.06,332.0,168116.0,5.061,,
2026-02-10 13:33:00,5.06,5.06,5.07,5.06,395.0,200004.0,5.061,,
2026-02-10 13:34:00,5.06,5.06,5.07,5.06,172.0,87131.0,5.061,,
2026-02-10 13:35:00,5.06,5.07,5.07,5.06,2316.0,1173529.0,5.061,,
2026-02-10 13:36:00,5.07,5.06,5.07,5.06,4819.0,2438657.0,5.061,,
2026-02-10 13:37:00,5.06,5.06,5.07,5.06,351.0,177747.0,5.061,,
2026-02-10 13:38:00,5.06,5.07,5.07,5.06,519.0,262855.0,5.061,,
2026-02-10 13:39:00,5.07,5.07,5.07,5.06,344.0,174323.0,5.061,,
2026-02-10 13:40:00,5.07,5.07,5.07,5.06,544.0,275472.0,5.061,,
2026-02-10 13:41:00,5.07,5.06,5.07,5.06,317.0,160536.0,5.061,,
2026-02-10 13:42:00,5.06,5.06,5.07,5.06,3548.0,1796477.0,5.061,,
2026-02-10 13:43:00,5.06,5.07,5.07,5.06,838.0,424193.0,5.061,,
2026-02-10 13:44:00,5.07,5.06,5.07,5.06,978.0,495601.0,5.061,,
2026-02-10 13:45:00,5.06,5.06,5.07,5.06,530.0,268405.0,5.061,,
2026-02-10 13:46:00,5.06,5.07,5.07,5.06,467.0,236559.0,5.061,,
2026-02-10 13:47:00,5.07,5.07,5.07,5.06,102.0,51682.0,5.061,,
2026-02-10 13:48:00,5.07,5.07,5.07,5.06,283.0,143343.0,5.061,,
2026-02-10 13:49:00,5.07,5.06,5.07,5.06,298.0,150925.0,5.061,,
2026-02-10 13:50:00,5.06,5.07,5.07,5.06,488.0,247144.0,5.061,,
2026-02-10 13:51:00,5.07,5.07,5.07,5.06,292.0,147872.0,5.061,,
2026-02-10 13:52:00,5.07,5.06,5.07,5.06,394.0,199437.0,5.061,5.065,
2026-02-10 13:53:00,5.06,5.07,5.07,5.06,315.0,159544.0,5.061,5.0652,
